sentence	label
千亿房企增至七家 预测称万科、绿地2014销售额将达2000亿（公司快讯）	1
郁亮：万科在白银时代怎么活（商业）	1
万科现61亿大宗交易 管理层有限增持（要闻）	0
万科两位小股东提起诉讼 法院已正式受理（公司快讯）	2
万科：和门口的野蛮人怎么玩？（张伟华博客）	1
高盛给万科A卖出评级 目标价15.6元（要闻）	0
万科郁亮：地板若有问题将赔偿客户损失（要闻）	1
恒大亏71亿沽清万科 深铁接盘晋升第一大股东（要闻）	2
万科将在北京大规模推社区养老服务（要闻）	1
物业公司抢规模 万科物业开拓商业项目（要闻）	1
万科就安信“毒地板”事件举行新闻发布会（金融当日快讯）	1
【数据图解】万科2019年前两月合同销售面积同比降近20%（财经）	2
万科股权之争现转机（郭琼）	1
万科管理层与华润仍各执一词 宝能态度成万科重组关键（公司快讯）	0
万科A:1季度净利同比增16%（公司快讯）	1
万科A冲高回落涨4.39% 孙宏斌否认买入万科股票（公司快讯）	1
宝能回应相信市场的力量 万科停牌筹划资产重组（要闻）	2
前三季度房企销售排名 万科恒大再次领跑（商业_数字新闻）	1
万科前十月销售额超去年全年（要闻）	1
万科物业升格为万物云 如何讲好资本市场新故事？（地产）	1
万科回应股份回购进展：做好基本面才是最重要维稳（公司快讯）	1
万科收购战：是因战而乱？还是心乱兴战？| 保险资金举牌(一)（金勇军博客）	1
【房地产周评】 万科绿地争老大 销售规模还重要吗？（房地产周评）	0
万科涨停了，恒大抢筹（尹铭博客）	1
TOP30上市房企10月销售面积排行：万科滑出前四名（面包财经博客）	2
【研报精华】万科成功跻身“绿档”毛利率下滑超预期（特报）	2
万科高管肖莉离职 加盟房产O2O平台房多多（要闻）	2
万科百亿回购计划到期 实际仅执行1.6亿（要闻）	2
出资逾5亿元 万科结盟新加坡悦榕集团（要闻）	1
今日午盘：万科二度跌停 沪指站上3000点（金融市场）	2
一季度盈利16亿 万科称新房供应未现短缺（公司快讯）	1
万科前三季销售额五年来首次同比下滑（要闻）	2
宝能面临屠杀，凶手不是万科，这场资本的战火将会烧到何方？（江瀚博客）	0
万科土地储备大缩水 券商警告:有踏空风险（公司快讯）	2
万科2015年销售超2600亿 净利润率跌破10%（要闻）	2
再融资遇困 万科112亿增发计划终结（要闻）	2
万科的独董丧失了独立性，还是首次展现了独立性（华生博客）	0
今日开盘：万科继续跌停 沪指上涨0.11%（金融市场）	2
独家｜恒大深铁谈判基本落定 安邦力争万科董事席位（要闻）	0
恒大接盘万科大宗交易 卖家会是谁？（要闻）	0
万科A2013年首季净利16亿 增16%（公司快讯）	1
500亿VS 6000亿，小宝能如何奇袭大万科？（侯安扬博客）	2
万科反击：宝能资管计划均属违规通道（要闻）	1
【编辑絮语·凌华薇】万科这一步（编辑絮语）	0
万科物业联手戴德梁行 整合全部商业物业资产（地产）	1
【理财周报】公募四季报揭露哪些持仓动向？小幅减持贵州茅台 大举增持万科A（特报）	1
香港一手住宅市场回暖 万科新盘低市价两成抢客（地产）	1
宝能系减持万科开始了吗？平安证券平价接盘背后（要闻）	2
两高管同时请辞 万科或正式告别王石时代（要闻）	2
万科H复牌累跌两成 万科A将如何“周一见”（要闻）	2
王石：为什么要捐赠设立清华万科公共卫生与健康学院（聚焦）	0
万科完成50亿公司债券发行 票面利率仅3.5%（公司快讯）	2
王石：万科H股冀引入战投（要闻）	1
万科长阳半岛开盘现场（滚动新闻）	1
万科将排查所有楼盘周边规划（要闻）	1
万科王石的今天就是董小姐的明天？|历史阅读（张银银博客）	0
万科上半年净利增25% 关注下半年土地市场（要闻）	1
争夺万科：市场为何要恐惧市场化（尹铭博客）	2
万 科Ａ：2015年七月份销售及近期新增项目情况简报（公司快讯）	0
王石万科事件时，看看真正的“门口野蛮人”（相关报道）	2
万科向关联企业借款10亿开发上海五街坊项目（要闻）	1
万科A事业合伙人再出手2.26亿元增持股份（公司快讯）	1
大摩财经再怼万科信披违规 曾爆料王石郁亮7年10个亿（智谷趋势博客）	2
离开万科办影展 67岁王石再创业|数据通特供（特报）	0
王石会离开万科吗？（聂辉华博客）	0
今日午盘：无惧万科A复牌跌停 大盘攻上五日均线（金融市场）	2
万科加冕销售千亿房企桂冠（要闻）	1
万科：转型非易事 部分多元化业务难盈利（要闻）	2
【数据图解】5月万科签约销售额同比增长5.67%/财新中国服务业PMI大幅反弹（特报）	1
万科牵头发布《2016中国滑雪产业白皮书》（要闻）	1
【独家】揭秘“宝能系”举牌万科资金何来（要闻）	0
T早报|苹果被判专利侵权赔偿5.028亿美元；万科物业更名“万物云”（科技）	1
